Comparison,AUC1,AUC2,Diff,CI_lower,CI_upper,p_value,Significant
MI-LR vs LASSO,0.8388,0.8209,0.017900000000000027,-0.0005299237284170921,0.0338987532829654,0.054,NO
MI-LR vs FP-Growth,0.8388,0.7578,0.08099999999999996,0.06544772422413249,0.09200591143761783,0.0,YES
MI-LR vs QUBO-neal,0.8388,0.7253,0.11350000000000005,0.09540025701997545,0.13060065821284295,0.0,YES
MI-LR vs QUBO-QAOA,0.8388,0.7253,0.11350000000000005,0.09540025701997545,0.13060065821284295,0.0,YES
LASSO vs FP-Growth,0.8209,0.7578,0.06309999999999993,0.05119343214106561,0.07805183134367544,0.0,YES
LASSO vs QUBO-neal,0.8209,0.7253,0.09560000000000002,0.08066480658766936,0.10967549482944183,0.0,YES
LASSO vs QUBO-QAOA,0.8209,0.7253,0.09560000000000002,0.08066480658766936,0.10967549482944183,0.0,YES
FP-Growth vs QUBO-neal,0.7578,0.7253,0.032500000000000084,0.02066508390615828,0.0438023489775865,0.0,YES
FP-Growth vs QUBO-QAOA,0.7578,0.7253,0.032500000000000084,0.02066508390615828,0.0438023489775865,0.0,YES
QUBO-neal vs QUBO-QAOA,0.7253,0.7253,0.0,0.0,0.0,1.0,NO
